count,hours
3,0.024722222222222222
4,0.015277777777777777
5,0.016944444444444446
6,0.002777777777777778
7,0.006388888888888889
8,0.001388888888888889
9,0.04861111111111111
10,0.020833333333333332
11,0.008055555555555555
12,0.006666666666666667
13,0.006666666666666667
14,0.012777777777777779
15,0.0425
16,0.03027777777777778
17,0.052222222222222225
18,0.08055555555555556
19,0.1461111111111111
20,0.19583333333333333
21,0.135
22,0.1975
23,0.20444444444444446
24,0.2772222222222222
25,0.3219444444444444
26,0.2061111111111111
27,0.20472222222222222
28,0.1575
29,0.21722222222222223
30,0.1922222222222222
31,0.2772222222222222
32,0.35444444444444445
33,0.34
34,0.3088888888888889
35,0.3283333333333333
36,0.28888888888888886
37,0.2225
38,0.2972222222222222
39,0.3313888888888889
40,0.30083333333333334
41,0.24305555555555555
42,0.2602777777777778
43,0.21583333333333332
44,0.20666666666666667
45,0.21583333333333332
46,0.26944444444444443
47,0.2822222222222222
48,0.2111111111111111
49,0.30527777777777776
50,0.31805555555555554
51,0.265
52,0.3402777777777778
53,0.3725
54,0.47444444444444445
55,0.465
56,0.475
57,0.44666666666666666
58,0.5811111111111111
59,0.5052777777777778
60,0.6980555555555555
61,0.9438888888888889
62,0.8216666666666667
63,0.9411111111111111
64,0.8563888888888889
65,0.9580555555555555
66,1.1066666666666667
67,1.3008333333333333
68,0.9627777777777777
69,1.0833333333333333
70,0.9630555555555556
71,0.9113888888888889
72,0.9038888888888889
73,0.9816666666666667
74,1.0427777777777778
75,1.1830555555555555
76,1.0502777777777779
77,0.9452777777777778
78,1.2663888888888888
79,1.1391666666666667
80,1.3497222222222223
81,1.1941666666666666
82,1.3155555555555556
83,1.3288888888888888
84,1.3966666666666667
85,1.3858333333333333
86,1.3719444444444444
87,1.3872222222222221
88,1.343888888888889
89,1.3369444444444445
90,1.0458333333333334
91,1.1177777777777778
92,0.9925
93,0.9841666666666666
94,0.9888888888888889
95,0.9166666666666666
96,0.7094444444444444
97,0.6452777777777777
98,0.5788888888888889
99,0.505
100,0.4091666666666667
101,0.37305555555555553
102,0.3022222222222222
103,0.3575
104,0.2658333333333333
105,0.18638888888888888
106,0.1527777777777778
107,0.14888888888888888
108,0.11805555555555555
109,0.1125
